size,income,cum_sum,grouping
1,0,1186,group
1,1,1213,group
1,41,1243,group
1,179,1263,group
1,196,1274,group
1,207,1291,group
1,280,1314,group
1,321,1322,group
1,558,1336,group
1,600,1348,group
1,631,1380,group
1,700,1390,group
1,725,1408,group
1,766,1416,group
1,800,1435,group
1,817,1461,group
1,931,1471,group
1,979,1477,group
1,1138,1485,group
1,1139,1500,group
1,1200,1585,group
1,1226,1604,group
1,1263,1612,group
1,1344,1641,group
1,1346,1656,group
1,1368,1695,group
1,1450,1733,group
1,1500,1765,group
1,1522,1772,group
1,1532,1782,group
1,1553,1799,group
1,1600,1805,group
1,1634,1817,group
1,1695,1833,group
1,1700,1839,group
1,1736,1850,group
1,1810,1875,group
1,1833,1887,group
1,1900,1907,group
1,1965,1918,group
1,2020,1925,group
1,2104,1939,group
1,2210,1948,group
1,2300,2004,group
1,2379,2036,group
1,2420,2043,group
1,2451,2063,group
1,2500,2103,group
1,2525,2113,group
1,2655,2117,group
1,2725,2137,group
1,2800,2172,group
1,2841,2186,group
1,3000,2192,group
1,3103,2202,group
1,3106,2242,group
1,3166,2253,group
1,3268,2268,group
1,3309,2289,group
1,3313,2312,group
1,3367,2332,group
1,3500,2351,group
1,3516,2359,group
1,3523,2381,group
1,3683,2401,group
1,3788,2431,group
1,3930,2446,group
1,3988,2469,group
1,4187,2491,group
1,4209,2575,group
1,4289,2581,group
1,4349,2595,group
1,4447,2600,group
1,4500,2620,group
1,4659,2632,group
1,4902,2645,group
1,5000,2662,group
1,5004,2683,group
1,5050,2693,group
1,5107,2730,group
1,5171,2769,group
1,5177,2797,group
1,5200,2827,group
1,5261,2868,group
1,5515,2883,group
1,5585,2898,group
1,5695,2943,group
1,5821,2962,group
1,5924,3012,group
1,6000,3023,group
1,6005,3029,group
1,6128,3041,group
1,6205,3095,group
1,6212,3141,group
1,6300,3171,group
1,6313,3212,group
1,6420,3223,group
1,6434,3257,group
1,6492,3267,group
1,6515,3280,group
1,6524,3304,group
1,6638,3317,group
1,6722,3329,group
1,6730,3358,group
1,6800,3404,group
1,6850,3436,group
1,6945,3453,group
1,7000,3489,group
1,7050,3500,group
1,7136,3548,group
1,7144,3557,group
1,7149,3588,group
1,7188,3602,group
1,7200,3618,group
1,7300,3638,group
1,7365,3663,group
1,7418,3674,group
1,7455,3698,group
1,7456,3703,group
1,7576,3742,group
1,7662,3751,group
1,7756,3759,group
1,7830,3774,group
1,7900,3792,group
1,7966,3805,group
1,8076,3812,group
1,8102,3829,group
1,8170,3839,group
1,8207,3860,group
1,8273,3928,group
1,8283,3986,group
1,8400,4082,group
1,8418,4101,group
1,8477,4109,group
1,8500,4121,group
1,8579,4210,group
1,8584,4217,group
1,8594,4243,group
1,8600,4296,group
1,8618,4331,group
1,8687,4406,group
1,8697,4600,group
1,8700,4611,group
1,8783,4675,group
1,8800,4779,group
1,8801,4832,group
1,8820,4842,group
1,8824,4850,group
1,8839,4883,group
1,8894,4890,group
1,8905,4917,group
1,8944,5000,group
1,8987,5085,group
1,8997,5103,group
1,9000,5112,group
1,9008,5127,group
1,9020,5138,group
1,9100,5144,group
1,9101,5194,group
1,9112,5222,group
1,9192,5344,group
1,9204,5352,group
1,9215,5372,group
1,9259,5387,group
1,9300,5400,group
1,9308,5468,group
1,9319,5576,group
1,9400,5607,group
1,9470,5616,group
1,9515,5627,group
1,9575,5655,group
1,9600,5721,group
1,9618,5740,group
1,9629,5756,group
1,9680,5768,group
1,9700,5777,group
1,9702,5787,group
1,9733,5801,group
1,9800,5807,group
1,9805,5941,group
1,9891,6042,group
1,9900,6073,group
1,9940,6140,group
1,9996,6179,group
1,10000,6205,group
1,10009,6236,group
1,10100,6248,group
1,10101,6261,group
1,10111,6286,group
1,10135,6295,group
1,10200,6305,group
1,10213,6378,group
1,10251,6406,group
1,10312,6421,group
1,10315,6465,group
1,10342,6662,group
1,10354,6848,group
1,10400,6854,group
1,10417,6869,group
1,10458,6896,group
1,10519,6904,group
1,10522,6954,group
1,10561,6969,group
1,10622,6981,group
1,10627,7039,group
1,10665,7053,group
1,10724,7092,group
1,10744,7121,group
1,10756,7131,group
1,10775,7143,group
1,10838,7164,group
1,10900,7175,group
1,10975,7202,group
1,11000,7220,group
1,11014,7240,group
1,11079,7247,group
1,11169,7253,group
1,11182,7291,group
1,11200,7372,group
1,11234,7442,group
1,11259,7467,group
1,11286,7501,group
1,11311,7524,group
1,11336,7543,group
1,11364,7596,group
1,11376,7642,group
1,11400,7668,group
1,11469,7691,group
1,11493,7706,group
1,11574,7773,group
1,11597,7780,group
1,11643,7785,group
1,11686,7800,group
1,11785,7813,group
1,11800,7830,group
1,11835,7843,group
1,11847,7934,group
1,11900,7944,group
1,11907,7952,group
1,11997,7960,group
1,12000,8140,group
1,12100,8168,group
1,12114,8187,group
1,12203,8217,group
1,12206,8257,group
1,12218,8264,group
1,12228,8276,group
1,12256,8463,group
1,12320,8478,group
1,12321,8496,group
1,12358,8509,group
1,12410,8595,group
1,12425,8911,group
1,12500,8950,group
1,12521,8962,group
1,12627,9145,group
1,12664,9158,group
1,12710,9168,group
1,12721,9234,group
1,12732,9246,group
1,12824,9252,group
1,12828,9269,group
1,12837,9279,group
1,12900,9292,group
1,12942,9315,group
1,12971,9350,group
1,13000,9409,group
1,13046,9422,group
1,13047,9449,group
1,13100,9455,group
1,13150,9481,group
1,13153,9515,group
1,13154,9530,group
1,13186,9543,group
1,13200,9560,group
1,13238,9568,group
1,13258,9579,group
1,13277,9726,group
1,13341,9748,group
1,13444,9800,group
1,13460,9884,group
1,13481,9915,group
1,13500,9926,group
1,13548,9939,group
1,13574,10005,group
1,13583,10044,group
1,13651,10070,group
1,13679,10120,group
1,13700,10132,group
1,13784,10163,group
1,13788,10175,group
1,13875,10229,group
1,13889,10243,group
1,13900,10259,group
1,14000,10396,group
1,14065,10406,group
1,14082,10419,group
1,14094,10432,group
1,14168,10448,group
1,14185,10460,group
1,14205,10483,group
1,14257,10508,group
1,14289,10516,group
1,14298,10549,group
1,14300,10562,group
1,14310,10594,group
1,14400,10668,group
1,14479,10732,group
1,14496,10786,group
1,14500,10810,group
1,14503,10866,group
1,14527,10887,group
1,14582,10916,group
1,14626,10923,group
1,14685,10939,group
1,14700,10952,group
1,14703,10974,group
1,14731,11053,group
1,14789,11082,group
1,14800,11095,group
1,14840,11100,group
1,14892,11217,group
1,14910,11273,group
1,14951,11287,group
1,14996,11308,group
1,15000,11335,group
1,15010,11342,group
1,15047,11355,group
1,15099,11370,group
1,15100,11385,group
1,15115,11405,group
1,15117,11412,group
1,15152,11462,group
1,15190,11482,group
1,15200,11504,group
1,15300,11537,group
1,15306,11568,group
1,15320,11728,group
1,15324,11736,group
1,15400,11794,group
1,15422,11812,group
1,15513,11962,group
1,15524,11980,group
1,15531,12112,group
1,15600,12126,group
1,15626,12150,group
1,15728,12169,group
1,15738,12183,group
1,15783,12328,group
1,15823,12355,group
1,15888,12363,group
1,15899,12384,group
1,15900,12391,group
1,15926,12469,group
1,15932,12506,group
1,15994,12526,group
1,16000,12549,group
1,16030,12564,group
1,16034,12610,group
1,16049,12634,group
1,16133,12684,group
1,16204,12706,group
1,16300,12722,group
1,16341,12746,group
1,16414,12790,group
1,16430,12803,group
1,16440,12819,group
1,16444,12871,group
1,16463,12880,group
1,16547,12923,group
1,16567,12967,group
1,16630,12985,group
1,16647,12997,group
1,16650,13019,group
1,16698,13039,group
1,16700,13081,group
1,16754,13096,group
1,16774,13107,group
1,16800,13117,group
1,16835,13243,group
1,16877,13290,group
1,16900,13325,group
1,16954,13335,group
1,17000,13451,group
1,17046,13474,group
1,17056,13493,group
1,17150,13515,group
1,17200,13539,group
1,17246,13552,group
1,17300,13564,group
1,17362,13699,group
1,17374,13715,group
1,17395,13775,group
1,17467,13816,group
1,17478,13826,group
1,17581,13856,group
1,17602,13889,group
1,17788,13909,group
1,17880,13921,group
1,17888,13985,group
1,17891,14005,group
1,17944,14016,group
1,17975,14034,group
1,17993,14086,group
1,18000,14124,group
1,18078,14145,group
1,18098,14156,group
1,18100,14166,group
1,18120,14178,group
1,18179,14187,group
1,18200,14198,group
1,18202,14213,group
1,18203,14257,group
1,18261,14267,group
1,18305,14316,group
1,18327,14330,group
1,18383,14402,group
1,18409,14427,group
1,18414,14512,group
1,18500,14540,group
1,18550,14553,group
1,18600,14575,group
1,18637,14712,group
1,18658,14721,group
1,18719,14730,group
1,18741,14744,group
1,18800,14750,group
1,18822,14761,group
1,18835,14779,group
1,18926,14808,group
1,18940,14893,group
1,18996,14900,group
1,19000,14970,group
1,19010,14982,group
1,19098,14997,group
1,19110,15010,group
1,19132,15047,group
1,19134,15054,group
1,19150,15092,group
1,19155,15104,group
1,19197,15112,group
1,19200,15170,group
1,19201,15176,group
1,19236,15241,group
1,19259,15270,group
1,19300,15288,group
1,19339,15316,group
1,19361,15329,group
1,19400,15340,group
1,19405,15426,group
1,19487,15442,group
1,19500,15450,group
1,19508,15460,group
1,19571,15472,group
1,19600,15484,group
1,19650,15508,group
1,19673,15569,group
1,19676,15582,group
1,19700,15593,group
1,19729,15607,group
1,19782,15623,group
1,19813,15634,group
1,19856,15650,group
1,19880,15746,group
1,19915,15764,group
1,19992,15778,group
1,20000,15825,group
1,20018,15838,group
1,20097,15845,group
1,20202,15866,group
1,20222,15876,group
1,20300,15908,group
1,20308,15921,group
1,20324,15958,group
1,20373,16024,group
1,20400,16036,group
1,20426,16179,group
1,20477,16200,group
1,20500,16222,group
1,20501,16254,group
1,20623,16261,group
1,20630,16275,group
1,20684,16445,group
1,20708,16532,group
1,20729,16625,group
1,20835,16643,group
1,20891,16659,group
1,20900,16672,group
1,20939,16685,group
1,21000,16838,group
1,21039,16867,group
1,21044,16950,group
1,21097,16982,group
1,21122,16996,group
1,21141,17013,group
1,21243,17030,group
1,21300,17042,group
1,21304,17051,group
1,21380,17067,group
1,21433,17083,group
1,21447,17124,group
1,21511,17152,group
