DSI,EIC,FLPDYR,MARS,XTOT,e00200,e00200p,e00200s,RECID
0,0,2019,1,1,0,0,0,1
0,1,2019,1,2,0,0,0,2
0,2,2019,1,3,0,0,0,3
0,3,2019,1,4,0,0,0,4
0,0,2019,2,2,0,0,0,5
0,1,2019,2,3,0,0,0,6
0,2,2019,2,4,0,0,0,7
0,3,2019,2,5,0,0,0,8
0,0,2019,1,1,12,12,0,9
0,1,2019,1,2,12,12,0,10
0,2,2019,1,3,12,12,0,11
0,3,2019,1,4,12,12,0,12
0,0,2019,2,2,12,8.4,3.5999999999999996,13
0,1,2019,2,3,12,8.4,3.5999999999999996,14
0,2,2019,2,4,12,8.4,3.5999999999999996,15
0,3,2019,2,5,12,8.4,3.5999999999999996,16
0,0,2019,1,1,24,24,0,17
0,1,2019,1,2,24,24,0,18
0,2,2019,1,3,24,24,0,19
0,3,2019,1,4,24,24,0,20
0,0,2019,2,2,24,16.8,7.199999999999999,21
0,1,2019,2,3,24,16.8,7.199999999999999,22
0,2,2019,2,4,24,16.8,7.199999999999999,23
0,3,2019,2,5,24,16.8,7.199999999999999,24
0,0,2019,1,1,36,36,0,25
0,1,2019,1,2,36,36,0,26
0,2,2019,1,3,36,36,0,27
0,3,2019,1,4,36,36,0,28
0,0,2019,2,2,36,25.2,10.8,29
0,1,2019,2,3,36,25.2,10.8,30
0,2,2019,2,4,36,25.2,10.8,31
0,3,2019,2,5,36,25.2,10.8,32
0,0,2019,1,1,48,48,0,33
0,1,2019,1,2,48,48,0,34
0,2,2019,1,3,48,48,0,35
0,3,2019,1,4,48,48,0,36
0,0,2019,2,2,48,33.6,14.399999999999999,37
0,1,2019,2,3,48,33.6,14.399999999999999,38
0,2,2019,2,4,48,33.6,14.399999999999999,39
0,3,2019,2,5,48,33.6,14.399999999999999,40
0,0,2019,1,1,60,60,0,41
0,1,2019,1,2,60,60,0,42
0,2,2019,1,3,60,60,0,43
0,3,2019,1,4,60,60,0,44
0,0,2019,2,2,60,42,18,45
0,1,2019,2,3,60,42,18,46
0,2,2019,2,4,60,42,18,47
0,3,2019,2,5,60,42,18,48
0,0,2019,1,1,72,72,0,49
0,1,2019,1,2,72,72,0,50
0,2,2019,1,3,72,72,0,51
0,3,2019,1,4,72,72,0,52
0,0,2019,2,2,72,50.4,21.6,53
0,1,2019,2,3,72,50.4,21.6,54
0,2,2019,2,4,72,50.4,21.6,55
0,3,2019,2,5,72,50.4,21.6,56
0,0,2019,1,1,84,84,0,57
0,1,2019,1,2,84,84,0,58
0,2,2019,1,3,84,84,0,59
0,3,2019,1,4,84,84,0,60
0,0,2019,2,2,84,58.8,25.200000000000003,61
0,1,2019,2,3,84,58.8,25.200000000000003,62
0,2,2019,2,4,84,58.8,25.200000000000003,63
0,3,2019,2,5,84,58.8,25.200000000000003,64
0,0,2019,1,1,96,96,0,65
0,1,2019,1,2,96,96,0,66
0,2,2019,1,3,96,96,0,67
0,3,2019,1,4,96,96,0,68
0,0,2019,2,2,96,67.2,28.799999999999997,69
0,1,2019,2,3,96,67.2,28.799999999999997,70
0,2,2019,2,4,96,67.2,28.799999999999997,71
0,3,2019,2,5,96,67.2,28.799999999999997,72
0,0,2019,1,1,108,108,0,73
0,1,2019,1,2,108,108,0,74
0,2,2019,1,3,108,108,0,75
0,3,2019,1,4,108,108,0,76
0,0,2019,2,2,108,75.6,32.400000000000006,77
0,1,2019,2,3,108,75.6,32.400000000000006,78
0,2,2019,2,4,108,75.6,32.400000000000006,79
0,3,2019,2,5,108,75.6,32.400000000000006,80
0,0,2019,1,1,120,120,0,81
0,1,2019,1,2,120,120,0,82
0,2,2019,1,3,120,120,0,83
0,3,2019,1,4,120,120,0,84
0,0,2019,2,2,120,84,36,85
0,1,2019,2,3,120,84,36,86
0,2,2019,2,4,120,84,36,87
0,3,2019,2,5,120,84,36,88
0,0,2019,1,1,132,132,0,89
0,1,2019,1,2,132,132,0,90
0,2,2019,1,3,132,132,0,91
0,3,2019,1,4,132,132,0,92
0,0,2019,2,2,132,92.4,39.599999999999994,93
0,1,2019,2,3,132,92.4,39.599999999999994,94
0,2,2019,2,4,132,92.4,39.599999999999994,95
0,3,2019,2,5,132,92.4,39.599999999999994,96
0,0,2019,1,1,144,144,0,97
