FLPDYR,RECID,aftertax_income,c00100,c04800,eitc
2019,1,0.00,0.00,0.00,0.00
2019,2,0.00,0.00,0.00,0.00
2019,3,0.00,0.00,0.00,0.00
2019,4,0.00,0.00,0.00,0.00
2019,5,0.00,0.00,0.00,0.00
2019,6,0.00,0.00,0.00,0.00
2019,7,0.00,0.00,0.00,0.00
2019,8,0.00,0.00,0.00,0.00
2019,9,12.00,12.00,0.00,0.92
2019,10,15.16,12.00,0.00,4.08
2019,11,15.88,12.00,0.00,4.80
2019,12,16.48,12.00,0.00,5.40
2019,13,12.00,12.00,0.00,0.92
2019,14,15.16,12.00,0.00,4.08
2019,15,15.88,12.00,0.00,4.80
2019,16,16.48,12.00,0.00,5.40
2019,17,24.00,24.00,0.00,1.84
2019,18,30.32,24.00,0.00,8.16
2019,19,31.76,24.00,0.00,9.60
2019,20,32.96,24.00,0.00,10.80
2019,21,24.00,24.00,0.00,1.84
2019,22,30.32,24.00,0.00,8.16
2019,23,31.76,24.00,0.00,9.60
2019,24,32.96,24.00,0.00,10.80
2019,25,36.00,36.00,0.00,2.75
2019,26,45.49,36.00,0.00,12.24
2019,27,47.65,36.00,0.00,14.40
2019,28,49.45,36.00,0.00,16.20
2019,29,36.00,36.00,0.00,2.75
2019,30,45.49,36.00,0.00,12.24
2019,31,47.65,36.00,0.00,14.40
2019,32,49.45,36.00,0.00,16.20
2019,33,48.00,48.00,0.00,3.67
2019,34,60.65,48.00,0.00,16.32
2019,35,63.53,48.00,0.00,19.20
2019,36,65.93,48.00,0.00,21.60
2019,37,48.00,48.00,0.00,3.67
2019,38,60.65,48.00,0.00,16.32
2019,39,63.53,48.00,0.00,19.20
2019,40,65.93,48.00,0.00,21.60
2019,41,60.00,60.00,0.00,4.59
2019,42,75.81,60.00,0.00,20.40
2019,43,79.41,60.00,0.00,24.00
2019,44,82.41,60.00,0.00,27.00
2019,45,60.00,60.00,0.00,4.59
2019,46,75.81,60.00,0.00,20.40
2019,47,79.41,60.00,0.00,24.00
2019,48,82.41,60.00,0.00,27.00
2019,49,72.00,72.00,0.00,5.51
2019,50,90.97,72.00,0.00,24.48
2019,51,95.29,72.00,0.00,28.80
2019,52,98.89,72.00,0.00,32.40
2019,53,72.00,72.00,0.00,5.51
2019,54,90.97,72.00,0.00,24.48
2019,55,95.29,72.00,0.00,28.80
2019,56,98.89,72.00,0.00,32.40
2019,57,84.00,84.00,0.00,6.43
2019,58,106.13,84.00,0.00,28.56
2019,59,111.17,84.00,0.00,33.60
2019,60,115.37,84.00,0.00,37.80
2019,61,84.00,84.00,0.00,6.43
2019,62,106.13,84.00,0.00,28.56
